file,BP_score,CW_score,SECT_score,BP_time,CW_time,SECT_time
A_014_ABS14_15_3.prp,42822.68168171163,24193.375457441332,25071.02603537155,2.5702999999999994e-5,0.0030729319999999996,0.00011917400000000001
A_014_ABS14_15_4.prp,37575.61395699309,27239.214159790343,41361.570733513094,2.3994999999999996e-5,0.002465766,0.000117993
A_014_ABS14_15_5.prp,46082.496775415704,32139.06094765546,18861.59095792055,2.2604000000000002e-5,0.002424469,0.00011378400000000001
A_014_ABS15_15_1.prp,35009.885581354276,28298.177932361417,16566.944580220203,2.5485999999999996e-5,0.0033907430000000003,0.000135814
A_014_ABS15_15_2.prp,39386.88582307069,32295.6464789986,16970.62163615574,2.5675e-5,0.0033156860000000004,0.00012075700000000001
A_014_ABS15_15_3.prp,37732.89345521247,5737.964378076383,24963.86822396522,2.4270000000000003e-5,0.002803465,0.00011671500000000001
A_014_ABS15_15_4.prp,34537.88580114901,5258.731758534715,33666.48576969547,2.4193e-5,0.0027749809999999997,0.00011532599999999999
A_014_ABS15_15_5.prp,39532.368603992356,26587.380899403986,17591.05313783869,2.4422e-5,0.0035272619999999998,0.000117943
A_014_ABS16_15_1.prp,43458.859369653255,29772.75341914817,24793.137656963994,2.338e-5,0.002428792,0.00011520000000000001
A_014_ABS16_15_2.prp,43762.63680491192,35980.23729534013,21188.497331351995,2.2691e-5,0.0023723320000000004,0.000117176
A_014_ABS16_15_3.prp,42822.68168171163,24193.375457441332,25071.02603537155,2.2947999999999998e-5,0.0024236929999999998,0.00011324
A_014_ABS16_15_4.prp,37575.61395699309,27239.214159790343,41361.570733513094,2.3789999999999998e-5,0.002434823,0.00011312799999999999
A_014_ABS16_15_5.prp,46082.496775415704,32139.06094765546,18861.59095792055,2.3028e-5,0.002347443,0.00011327599999999999
A_014_ABS17_15_1.prp,43458.859369653255,29772.75341914817,24793.137656963994,2.2762000000000003e-5,0.002361867,0.00011482000000000002
A_014_ABS17_15_2.prp,43762.63680491192,35980.23729534013,21188.497331351995,2.9472000000000002e-5,0.002483532,0.00013957300000000001
A_014_ABS17_15_3.prp,42822.68168171163,24193.375457441332,25071.02603537155,2.3534999999999997e-5,0.002414416,0.000114
A_014_ABS17_15_4.prp,37575.61395699309,27239.214159790343,41361.570733513094,2.3122e-5,0.002368972,0.00011285300000000001
A_014_ABS17_15_5.prp,46082.496775415704,32139.06094765546,18861.59095792055,2.2923e-5,0.002379215,0.00011376799999999999
A_014_ABS18_15_1.prp,35009.885581354276,28298.177932361417,16566.944580220203,2.4636000000000003e-5,0.0034128490000000004,0.000116215
A_014_ABS18_15_2.prp,39386.88582307069,32295.6464789986,16970.62163615574,2.4125000000000004e-5,0.0030629720000000006,0.00011624800000000002
A_014_ABS18_15_3.prp,37732.89345521247,5737.964378076383,24963.86822396522,2.4683e-5,0.002763953,0.00011774
A_014_ABS18_15_4.prp,34537.88580114901,5258.731758534715,33666.48576969547,2.4307e-5,0.0027750350000000003,0.000114954
A_014_ABS18_15_5.prp,39532.368603992356,26587.380899403986,17591.05313783869,2.4801000000000002e-5,0.003412372,0.000116439
A_014_ABS19_15_1.prp,43458.859369653255,29772.75341914817,24793.137656963994,2.2804e-5,0.002363574,0.000113942
A_014_ABS19_15_2.prp,43762.63680491192,35980.23729534013,21188.497331351995,2.3047000000000005e-5,0.002398286,0.000156477
A_014_ABS19_15_3.prp,42822.68168171163,24193.375457441332,25071.02603537155,2.4338000000000003e-5,0.002533997,0.00011845300000000001
A_014_ABS19_15_4.prp,37575.61395699309,27239.214159790343,41361.570733513094,2.3049999999999998e-5,0.002377138,0.000113749
A_014_ABS19_15_5.prp,46082.496775415704,32139.06094765546,18861.59095792055,2.2956e-5,0.002390273,0.000115704
A_014_ABS1_15_1.prp,21744.063854635893,15635.991220239124,12422.161737710303,2.4860000000000003e-5,0.002495602,0.000118572
A_014_ABS1_15_2.prp,21919.79359136722,18014.997183167365,10612.855957208953,2.3443e-5,0.0024847669999999997,0.000118872
A_014_ABS1_15_3.prp,21433.78395540049,12129.2612641462,12560.246328293555,4.2155999999999994e-5,0.0024674410000000003,0.00011585600000000001
A_014_ABS1_15_4.prp,18790.280250509764,13646.162424898026,20682.156645775212,2.4463e-5,0.002446984,0.00012113
A_014_ABS1_15_5.prp,23063.00608408628,16084.881104156284,9447.633345816635,2.3299000000000002e-5,0.002412366,0.00011486299999999999
A_014_ABS20_15_1.prp,43458.859369653255,29772.75341914817,24793.137656963994,2.2479e-5,0.002399281,0.00011578999999999999
A_014_ABS20_15_2.prp,43762.63680491192,35980.23729534013,21188.497331351995,2.326e-5,0.0024186369999999995,0.000135689
A_014_ABS20_15_3.prp,42822.68168171163,24193.375457441332,25071.02603537155,2.3467e-5,0.0024471680000000004,0.00011475100000000001
A_014_ABS20_15_4.prp,37575.61395699309,27239.214159790343,41361.570733513094,3.1105e-5,0.002628015,0.0001766
A_014_ABS20_15_5.prp,46082.496775415704,32139.06094765546,18861.59095792055,2.3005e-5,0.002407578,0.00011740000000000002
A_014_ABS21_15_1.prp,35009.885581354276,28298.177932361417,16566.944580220203,2.5608000000000003e-5,0.003359772,0.00012163299999999999
A_014_ABS21_15_2.prp,39386.88582307069,32295.6464789986,16970.62163615574,2.9594e-5,0.011491215,0.000130793
A_014_ABS21_15_3.prp,37732.89345521247,5737.964378076383,24963.86822396522,2.4866000000000002e-5,0.002780383,0.00011788200000000001
A_014_ABS21_15_4.prp,34537.88580114901,5258.731758534715,33666.48576969547,2.3778e-5,0.002788192,0.000116974
A_014_ABS21_15_5.prp,39532.368603992356,26587.380899403986,17591.05313783869,2.4327999999999998e-5,0.0035187860000000003,0.00011764299999999998
A_014_ABS22_15_1.prp,43458.859369653255,29772.75341914817,24793.137656963994,2.3616e-5,0.0024556300000000003,0.00011703999999999999
A_014_ABS22_15_2.prp,43762.63680491192,35980.23729534013,21188.497331351995,2.3704000000000002e-5,0.002509912,0.00011983199999999999
A_014_ABS22_15_3.prp,42822.68168171163,24193.375457441332,25071.02603537155,2.3115e-5,0.002433034,0.00011697
A_014_ABS22_15_4.prp,37575.61395699309,27239.214159790343,41361.570733513094,2.3807999999999996e-5,0.002546376,0.000117708
A_014_ABS22_15_5.prp,46082.496775415704,32139.06094765546,18861.59095792055,2.4201999999999996e-5,0.002497518,0.00011840100000000001
A_014_ABS23_15_1.prp,43458.859369653255,29772.75341914817,24793.137656963994,2.3522999999999998e-5,0.0024906069999999997,0.00011943700000000002
A_014_ABS23_15_2.prp,43762.63680491192,35980.23729534013,21188.497331351995,2.4169999999999997e-5,0.0025346870000000003,0.00012123300000000001
