file,BP_score,CW_score,SECT_score,BP_time,CW_time,SECT_time
A_014_ABS13_15_5.prp,46082.496775415704,32139.06094765546,18861.59095792055,2.3893e-5,0.002400405,0.000127598
A_014_ABS14_15_1.prp,43458.859369653255,29772.75341914817,24793.137656963994,2.8683e-5,0.00242377,0.000126086
A_014_ABS14_15_2.prp,43762.63680491192,35980.23729534013,21188.497331351995,2.3748e-5,0.0023700809999999996,0.000123589
A_014_ABS14_15_3.prp,42822.68168171163,24193.375457441332,25071.02603537155,2.4002e-5,0.0024326009999999995,0.00016829
A_014_ABS14_15_4.prp,37575.61395699309,27239.214159790343,41361.570733513094,2.3468000000000003e-5,0.002432099,0.00012194099999999999
A_014_ABS14_15_5.prp,46082.496775415704,32139.06094765546,18861.59095792055,2.3481e-5,0.002431623,0.000125907
A_014_ABS15_15_1.prp,35009.885581354276,28298.177932361417,16566.944580220203,2.7635e-5,0.003440539,0.000135649
A_014_ABS15_15_2.prp,39386.88582307069,32295.6464789986,16970.62163615574,2.5572000000000002e-5,0.003184025,0.00012803
A_014_ABS15_15_3.prp,37732.89345521247,5737.964378076383,24963.86822396522,2.9591000000000002e-5,0.0029007449999999997,0.00012986400000000002
A_014_ABS15_15_4.prp,34537.88580114901,5258.731758534715,33666.48576969547,2.8436000000000004e-5,0.0027991129999999998,0.000153421
A_014_ABS15_15_5.prp,39532.368603992356,26587.380899403986,17591.05313783869,2.5712e-5,0.003650464,0.000130198
A_014_ABS16_15_1.prp,43458.859369653255,29772.75341914817,24793.137656963994,2.3789999999999998e-5,0.002487315,0.000124451
A_014_ABS16_15_2.prp,43762.63680491192,35980.23729534013,21188.497331351995,2.4063000000000003e-5,0.002462098,0.00012416199999999998
A_014_ABS16_15_3.prp,42822.68168171163,24193.375457441332,25071.02603537155,2.4094e-5,0.002489509,0.00012328300000000002
A_014_ABS16_15_4.prp,37575.61395699309,27239.214159790343,41361.570733513094,2.3310999999999998e-5,0.002383181,0.00012334500000000002
A_014_ABS16_15_5.prp,46082.496775415704,32139.06094765546,18861.59095792055,2.5122e-5,0.002377219,0.000128692
A_014_ABS17_15_1.prp,43458.859369653255,29772.75341914817,24793.137656963994,2.3448999999999995e-5,0.002416023,0.00013021099999999998
A_014_ABS17_15_2.prp,43762.63680491192,35980.23729534013,21188.497331351995,2.3165999999999998e-5,0.0023852269999999997,0.000124004
A_014_ABS17_15_3.prp,42822.68168171163,24193.375457441332,25071.02603537155,2.3397e-5,0.00240557,0.00012331699999999999
